"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","CloudNet_18:2f:8b","","ARP","62","Who has 192.168.3.182? Tell 192.168.3.203"
"2","0.511974992","CloudNet_18:2f:8b","","ARP","62","Who has 192.168.3.182? Tell 192.168.3.203"
"3","1.535943696","CloudNet_18:2f:8b","","ARP","62","Who has 192.168.3.182? Tell 192.168.3.203"
"4","5.121001078","192.168.3.203","255.255.255.255","SNMP","168","get-request 1.3.6.1.4.1.1602.1.3.1.13.0 1.3.6.1.4.1.1602.1.2.1.8.1.3.1.1 1.3.6.1.4.1.1602.1.1.1.1.0 1.3.6.1.4.1.1602.1.1.1.10.0 1.3.6.1.4.1.1602.1.3.1.12.0"
"5","5.121001225","192.168.3.203","255.255.255.255","SNMP","168","get-request 1.3.6.1.4.1.1602.1.3.1.13.0 1.3.6.1.4.1.1602.1.2.1.8.1.3.1.1 1.3.6.1.4.1.1602.1.1.1.1.0 1.3.6.1.4.1.1602.1.1.1.10.0 1.3.6.1.4.1.1602.1.3.1.12.0"
"6","11.570863111","HuaweiDe_9b:9c:13","","ARP","62","Who has 192.168.3.117? Tell 192.168.3.1"
"7","16.730018971","127.0.0.1","127.0.0.53","DNS","81","Standard query 0xce52 A default.exp-tas.com"
"8","16.730158933","127.0.0.1","127.0.0.53","DNS","81","Standard query 0xa753 HTTPS default.exp-tas.com"
"9","16.730267019","192.168.3.246","192.168.3.1","DNS","81","Standard query 0x4bb8 A default.exp-tas.com"
"10","16.730420700","192.168.3.246","192.168.3.1","DNS","81","Standard query 0xfaf0 HTTPS default.exp-tas.com"
"11","16.749939134","192.168.3.1","192.168.3.246","DNS","163","Standard query response 0x4bb8 A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93"
"12","16.750198848","192.168.3.1","192.168.3.246","DNS","204","Standard query response 0xfaf0 HTTPS default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net SOA ns1.e-msedge.net"
"13","16.750217344","127.0.0.53","127.0.0.1","DNS","163","Standard query response 0xce52 A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93"
"14","16.750525830","192.168.3.246","192.168.3.1","DNS","81","Standard query 0xe1ee HTTPS e-0014.e-msedge.net"
"15","16.756200930","192.168.3.246","13.107.5.93","TCP","76","49308  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2076635445 TSecr=0 WS=128"
"16","16.760843622","192.168.3.1","192.168.3.246","DNS","141","Standard query response 0xe1ee HTTPS e-0014.e-msedge.net SOA ns1.e-msedge.net"
"17","16.761066334","127.0.0.53","127.0.0.1","DNS","204","Standard query response 0xa753 HTTPS default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net SOA ns1.e-msedge.net"
"18","16.761087899","127.0.0.1","127.0.0.53","ICMP","232","Destination unreachable (Port unreachable)"
"19","16.805742429","13.107.5.93","192.168.3.246","TCP","68","443  >  49308 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1"
"20","16.805788682","192.168.3.246","13.107.5.93","TCP","56","49308  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"21","16.806118353","192.168.3.246","13.107.5.93","TLSv1.3","573","Client Hello"
"22","16.855838654","13.107.5.93","192.168.3.246","TCP","62","443  >  49308 [ACK] Seq=1 Ack=518 Win=4194304 Len=0"
"23","16.856089959","13.107.5.93","192.168.3.246","TLSv1.3","155","Hello Retry Request, Change Cipher Spec"
"24","16.856101063","192.168.3.246","13.107.5.93","TCP","56","49308  >  443 [ACK] Seq=518 Ack=100 Win=64256 Len=0"
"25","16.856991498","192.168.3.246","13.107.5.93","TLSv1.3","439","Change Cipher Spec, Client Hello"
"26","16.906364790","13.107.5.93","192.168.3.246","TCP","62","443  >  49308 [ACK] Seq=100 Ack=901 Win=4194048 Len=0"
"27","16.912434843","13.107.5.93","192.168.3.246","TLSv1.3","2880","Server Hello"
"28","16.912544633","192.168.3.246","13.107.5.93","TCP","56","49308  >  443 [ACK] Seq=901 Ack=2924 Win=64128 Len=0"
"29","16.912585432","13.107.5.93","192.168.3.246","TLSv1.3","3192","Application Data"
"30","16.913362583","192.168.3.246","13.107.5.93","TCP","56","49308  >  443 [ACK] Seq=901 Ack=6060 Win=64128 Len=0"
"31","19.367975014","192.168.3.246","13.107.5.93","TLSv1.3","130","Application Data"
